token	lemma	POS	morph	treated
fueille	fueille	NOMcom	NOMB.=s|GENRE=f|CAS=n	fueille
ne	ne2	CONcoo	MORPH=empty	ne
flors	flor1	NOMcom	NOMB.=s|GENRE=f|CAS=n	flors
ne	ne1	ADVneg	MORPH=empty	ne
vaut	valoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	vaut
rien	rien	PROind	NOMB.=s|GENRE=f|CAS=r	rien
en	en1	PRE	MORPH=empty	en
chantant	chanter	VERppa	MORPH=empty	chantant
que	que4	CONsub	MORPH=empty	que
por	por2	PRE	MORPH=empty	por
defaut	defaut	NOMcom	PERS.=3|NOMB.=s|GENRE=m|CAS=r	defaut
sanz	sans	PRE	MORPH=empty	sanz
plus	plus	ADVgen	DEGRE=-	plus
de	de	PRE	MORPH=empty	de
rrmoier	romir	VERinf	MORPH=empty	rrmoier
E	et	CONcoo	MORPH=empty	E
por	por2	PRE	MORPH=empty	por
faire	faire	VERinf	MORPH=empty	faire
solaz	solaz	NOMcom	NOMB.=p|GENRE=m|CAS=r	solaz
vilaine	vilain	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	vilaine
gent	gent1	NOMcom	NOMB.=s|GENRE=f|CAS=n	gent
qui	qui	PROrel	NOMB.=s|GENRE=f|CAS=n	qui
mauvez	mauvais	ADJqua	NOMB.=p|CAS=n|DEGRE=p	mauvez
moz	mot	NOMcom	NOMB.=p|GENRE=m|CAS=r	moz
font	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	font
souvent	sovent	ADVgen	DEGRE=-	souvent
abaeerie	abeier	NOMcom	NOMB.=s|GENRE=f|CAS=n	abaeerie
ne	ne2	CONcoo	MORPH=empty	ne
chant	chant2	VERppa	MODE=ind|PERS.=3|NOMB.=p|GENRE=m	chant
pas	pas	ADVneg	MORPH=empty	pas
pour	por2	PRE	MORPH=empty	pour
aus	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r	aus
