token	lemma	POS	morph	treated
DAme	dame	NOMcom	NOMB.=s|GENRE=f|CAS=n	DAme
einsi	ainsi	ADVgen	DEGRE=-	einsi
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
m	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	m
en	en2	PROadv	MORPH=empty	en
couvient	covenir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	couvient
aler	aler	VERinf	MORPH=empty	aler
et	et	CONcoo	MORPH=empty	et
departir	departir	VERinf	MORPH=empty	departir
de	de	PRE	MORPH=empty	de
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
douce	douz	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	douce
contree	contree	NOMcom	NOMB.=s|GENRE=f|CAS=r	contree
eutant	-	ADVgen	MORPH=empty	eutant
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	ai
max	mal1	NOMcom	NOMB.=p|GENRE=m|CAS=r|DEGRE=p	max
sofferz	sofrir	VERppe	NOMB.=p|GENRE=m|CAS=r	sofferz
et	et	CONcoo	MORPH=empty	et
endurez	endurer	VERppe	NOMB.=p|GENRE=m|CAS=r	endurez
quant	cant1	CONsub	MORPH=empty	quant
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	je
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n	vos
lais	laissier	VERcjg	MODE=ind|PERS.=1|NOMB.=s	lais
droiz	droit	ADJqua	NOMB.=s|GENRE=m|DEGRE=p	droiz
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
que	que4	CONsub	MORPH=empty	que
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	je
m	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	m
en	en2	PROadv	MORPH=empty	en
hee	häir	VERcjg	MODE=sub|PERS.=1|NOMB.=s	hee
Dex	dieu	NOMpro	NOMB.=s|GENRE=m|CAS=n	Dex
por	por2	PRE	MORPH=empty	por
quoi	coi2	PROrel	NOMB.=s|GENRE=n|CAS=i	quoi
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fu
la	le	DETdef	NOMB.=s|GENRE=f|CAS=n	la
terre	terre	NOMcom	NOMB.=s|GENRE=f|CAS=n	terre
d	de	PRE	MORPH=empty	d
outremer	Outremer	VERinf	CAS=r	outremer
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
tant	tant	ADVgen	DEGRE=-	tant
amanz	amen	NOMcom	TEMPS=pst|NOMB.=s	amanz
aurai	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s	aurai
fait	faire	VERppe	NOMB.=s|GENRE=m|CAS=r	fait
desseurer	dessevrer	VERinf	MORPH=empty	desseurer
dont	dont	PROrel	CAS=i	dont
puis	puis	ADVgen	DEGRE=-	puis
ne	ne1	ADVneg	MORPH=empty	ne
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fu
la	le	DETdef	NOMB.=s|GENRE=f|CAS=n	la
mors	mort	NOMcom	NOMB.=s|GENRE=f|CAS=n	mors
reconfortee	reconforter	VERppe	NOMB.=s|GENRE=f|CAS=n	reconfortee
ne	ne2	CONcoo	MORPH=empty	ne
ne	ne1	ADVneg	MORPH=empty	ne
porent	pöoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p	porent
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
joie	joie	NOMcom	NOMB.=s|GENRE=f|CAS=r	joie
ja	ja	ADVgen	DEGRE=-	ja
sanz	sans	PRE	MORPH=empty	sanz
amors	amor	NOMcom	NOMB.=s|GENRE=f|CAS=r	amors
ne	ne1	ADVneg	MORPH=empty	ne
porroie	pöoir	VERcjg	MODE=con|PERS.=1|NOMB.=s	porroie
durer	durer	VERinf	MORPH=empty	durer
tant	tant	ADVgen	DEGRE=-	tant
par	par	PRE	MORPH=empty	par
i	i2	PROadv	MORPH=empty	i
truis	trover	PROcar	MODE=ind|PERS.=1|NOMB.=s	truis
ferme	fermer	ADJqua	NOMB.=s|GENRE=f|CAS=r	ferme
remembrerment	remembrer	NOMcom	CAS=r	remembrerment
ma	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r	ma
pensee	pensee	NOMcom	NOMB.=s|GENRE=f|CAS=r	pensee
ne	ne2	CONcoo	MORPH=empty	ne
mes	mais1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=n	mes
finz	fin2	ADJqua	NOMB.=s|GENRE=m|CAS=n	finz
cuers	cuer2	NOMcom	NOMB.=s|GENRE=m|CAS=n	cuers
ne	ne1	ADVneg	MORPH=empty	ne
m	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	m
en	en2	PROadv	MORPH=empty	en
lait	laissier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	lait
