token	normalised
Dusques	dusques
ci	ci
ai	ai
tous	tous
iours	jours
chante	chante
de	de
mout	mout
fin	fin
cuer	cuer
bon	bon
et	et
loial	loial
entier	entier
n	n
ainc	ainc
de	de
fausser	fausser
n	n
oi	oi
dedenz	dedenz
mon	mon
cuer	cuer
uolante	volante
ne	ne
ma	ma
painne	painne
ne	ne
mi	mi
eust	eust
mestier	mestier
bien	bien
m	m
a	a
amours	amours
a	a
son	son
oez	oez
atourne	atourne
r	r
etenumaia	etenumaia
marz	marz
nel	nel
quier	quier
laissier	laissier
et	et
s	s
enuoiie	envoiie
les	les
plusors	plusors
maiz	maiz
targier	targier
Ce	Ce
sont	sont
li	li
fol	fol
maleure	maleure
dont	dont
il	il
est	est
tro	tro
ppour	ppour
amours	amours
guerroier	guerroier
par	par
lor	lor
plaidier	plaedier
ont	ont
maint	maint
amant	amant
destorbeneia	destorbeneia
un	un
deus	deus
n	n
i	i
uerroiz	verroiz
guaaignier	guaaignier
de	de
ce	ce
deuroient	devroient
estre	estre
pourpense	pourpense
que	que
teu	teu
s	s
puet	puet
nuire	nuire
qui	qui
ne	ne
puet	puet
aidier	aidier
marz	marz
enuieuz	envieuz
ne	ne
puet	puet
on	on
chastoier	chastoier
Cele	cele
gent	gent
ont	ont
petit	petut
ame	ame
qui	qui
se	se
painnent	painnent
d	d
autrui	autrui
contraloier	contraloier
ce	ce
n	n
a	a
mestier	mestier
qu	qu
a	a
ria	ria
tant	tant
n	n
auront	avront
deuise	devise
	
que	que
on	on
doiue	doive
pout	pout
ce	ce
amors	amors
leissier	leissier
non	non
fait	fait
nus	nus
uoirs	voirs
en	en
lui	lui
n	n
a	a
fausse	fausse
te	te
diex	diex
cuin	cuin
aime	aime
deq<UNK>ise	dequrnaaise
set	set
aidier	aidier
uoist	voist
se	se
rendre	rendre
qu	qu
al	al
siecle	siecle
n	n
amesti	amesti
er	er
Ie	Ee
metieig	metveig
a	a
bon	bon
eure	eure
de	de
ceꝯques	cecuqques
ne	ne
u	u
talent	talent
detrechier	detrechier
ne	ne
de	de
boisier	boisier
ainz	ainz
metrus	metrus
d	d
amours	amours
alume	alume
si	si
freschement	freschement
ꝯfui	confui
au	au
ꝯmencier	commencier
encore	encore
m	m
ait	ait
guerredons	guerredons
demoure	demouré
ie	je
me	me
soulaz	soulaz
en	en
ce	ce
qui	qui
puet	puet
aidier	aidier
en	en
loiaute	loiaute
uueill	vueill
perdre	perdre
u	u
gaaignier	gaargnier
Par	par
maintes	maintes
foiz	foiz
m	m
a	a
on	on
blasme	blasme
de	de
ce	ce
que	que
tant	tant
me	me
sui	sui
mis	mis
en	en
dangier	dangier
marz	marz
fol	fol
oier	oiera
uoi	voi
touz	touz
ceuz	ceuz
qui	qui
le	le
mont	mont
moustre	moustre
que	que
ie	je
ne	ne
pus	pus
mieuz	mieuz
ma	ma
peinne	peinne
emploier	emploier
tost	tost
a	a
amours	amours
le	le
pluz	pluz
haut	haut
don	don
doune	doune
si	si
ne	ne
s	s
en	en
doit	doit
nus	nus
hom	hom
trop	trop
esmai	esmai
er	er
pour	pour
tel	tel
ioie	joie
se	se
doit	doit
len	len
traueillier	traveillier
A	a
uous	vous
le	le
di	di
compainz	compainz
Gassebrulle	gassebrulle
pensez	pensez
d	d
amours	amours
de	de
son	son
nom	nom
enforcier	enforcier
