token	normalised
Quant	quant
uoilet	voilet
ans	ans
bel	bel
et	et
cler	cler
ainz	ainz
que	que
soit	soit
nois	nois
ne	ne
geleechant	geleechant
pour	pour
moi	moi
reconforter	reconforter
car	car
trop	trop
ai	ai
ioie	joie
oublie	oublie
e	e
merueull	merveull
moi	moi
ꝯ	com
puis	puis
durer	durer
quant	quant
a	a
de	de
s	s
me	me
ueut	veut
greuer	grever
	
du	du
monde	monde
la	la
mieuz	mieuz
amee	amee
Bien	bien
set	set
ne	ne
m	m
en	en
puis	puis
torner	torner
pour	pour
ce	ce
criem	criem
que	que
ne	ne
me	me
hee	hee
maiz	maiz
n	n
en	en
faiz	faiz
mie	mie
a	a
blasmer	blasmer
car	car
teus	teus
est	est
ma	ma
destinee	destinee
ie	je
fui	fui
faiz	faiz
pour	pour
l	l
i	i
ameri	ameri
a	a
dex	dex
ne	ne
m	m
i	i
laist	laist
fausser	fausser
nissele	nissele
a	a
ma	ma
mort	mort
iuree	juree
Mout	mout
me	me
plaist	plaist
a	a
reguarder	reguarder
li	li
pais	pais
et	et
la	la
contree	contree
uie	vie
nos	nos
souent	sovent
aler	aler
pour	pour
la	la
gent	gent
malapen	malapen
see	see
maiz	maiz
si	si
ne	ne
sauront	savront
guarder	guarder
sel	sel
me	me
ueut	veut
ioie	joie
doner	doner
	
que	que
bien	bien
ne	ne
lor	lor
soit	soit
emblee	emblee
Quant	quant
oi	oi
en	en
parole	parole
entrer	entrer
chascun	chascun
de	de
sa	sa
desirree	desirree
et	et
lor	lor
menconge	menconge
a	a
conter	conter
donc	donc
il	il
font	font
tel	tel
assamblee	assamblee
ce	ce
me	me
fait	fait
mire	mire
d	d
oubler	oubler
si	si
me	me
font	font
grief	grief
souspirer	souspirer
quant	quant
chascuns	chascuns
sont	sont
richier	rrchier
uee	vee
Amours	amours
bien	bien
uous	vous
doit	doit
membrer	membrer
s	s
il	il
est	est
a	a
aise	aise
qui	qui
pree	pree
quant	quant
pluz	pluz
cuit	cuit
mercit	mercit
rouer	rover
	
et	et
pluz	pluz
est	est
mire	mire
doublee	doublee
ce	ce
me	me
fait	fait
mout	mout
trespenser	trespenser
que	que
nos	nos
maiz	maiz
a	a
li	li
parler	parler
de	de
rienz	rienz
s	s
il	il
ne	ne
li	li
agree	agree
Bien	bien
me	me
deust	deust
amender	amender
sanz	sanz
ce	ce
qu	qu
ele	ele
en	en
fust	fust
gr	gr
euee	evee
maiz	maiz
pour	pour
dieu	dieu
li	li
uueill	vueill
mander	mander
quant	quant
n	n
i	i
ai	ai
merci	merci
trouee	trovee
	
qu	qu
autre	autre
ni	ni
uueille	vueille
escouter	escouter
car	car
mout	mout
li	li
deuroit	devroit
peser	peser
	
sert	sert
de	de
faus	faus
amanz	amanz
gabee	gabee
Ma	ma
chancon	chancon
uueill	vueill
definer	definer
Guineuous	guinevous
puis	puis
oublier	oublier
pour	pour
uous	vous
ai	ai
la	la
mort	mort
blasmee	blasmee
